IDBerco,Nome_Berco,Terminal,Porto,Taxa_Media_Pct,Taxa_Carga_Media_Pct,Taxa_Max_Mensal_Pct,Dias_Acima_80,Dias_Acima_95,Mes_Pico,Status,N_Dias,N_Atr,TEstadia_Med,TEspera_Med
SUAPIB5,Cais Público,Cais Público,Suape,97.3,51.9,100.0,344,335,Jan,Vermelho,365,87.0,28.55833333,1.066666667
SFS0201,Retroarea 2,Retroarea 2,São Francisco do Sul,96.0,90.5,99.0,346,303,Out,Vermelho,365,66.0,207.675,42.48333333
SFS0102,Retroarea 1,Retroarea 1,São Francisco do Sul,95.3,95.3,99.2,346,289,Nov,Vermelho,365,75.0,511.6,384.08333335
PNG0214,Corredor de Exportação Leste,Corredor de Exportação Leste,Paranaguá,93.7,93.7,97.6,342,247,Jan,Vermelho,365,116.0,345.4666667,274.525
RIG0047,Cais comercial do Porto Novo,Cais comercial do Porto Novo,Rio Grande,92.1,88.4,98.5,313,287,Mar,Vermelho,365,163.0,96.66666667,17.433333335
PNG0205,CAIS PÚBLICO,CAIS PÚBLICO,Paranaguá,91.3,88.2,99.3,324,292,Out,Vermelho,365,81.0,489.6666667,332.4
PNG0204,CAIS PÚBLICO,CAIS PÚBLICO,Paranaguá,90.4,90.4,97.2,325,215,Out,Vermelho,365,156.0,274.15,228.99166665
PNG0213,Corredor de Exportação Leste,Corredor de Exportação Leste,Paranaguá,89.2,89.2,97.3,325,224,Out,Vermelho,365,125.0,333.0666667,265.8
BRSC0110001,Berço1,Porto Itapoá Terminais Portuários,Itajaí,88.2,88.2,91.8,308,79,Ago,Vermelho,365,359.0,31.4,9.95
SFS0301,TESC,TESC,São Francisco do Sul,88.1,77.0,96.2,300,253,Jun,Vermelho,365,102.0,222.1666667,136.4583333
PNG0212,Corredor de Exportação Leste,Corredor de Exportação Leste,Paranaguá,87.9,87.9,98.1,324,232,Out,Vermelho,365,103.0,345.2666667,257.0833333
BRCE0010305,TMUT - BERÇO 05,Terminal Portuário do Pecém,Pecém,87.8,87.8,98.6,316,277,Set,Vermelho,365,54.0,226.25,94.983333335
PNG0202,CAIS PÚBLICO,CAIS PÚBLICO,Paranaguá,87.6,87.6,97.5,307,243,Out,Vermelho,365,96.0,238.2666667,147.76666665
IGI5102,CSN Mineração,CSN Mineração,Itaguaí,86.7,86.7,95.5,328,129,Abr,Vermelho,365,228.0,97.68333333,62.58333333
BRCE0010306,TMUT - BERÇO 06,Terminal Portuário do Pecém,Pecém,86.7,86.7,99.2,312,278,Jul,Vermelho,365,52.0,259.9833333,104.25833335
SFS0302,TESC,TESC,São Francisco do Sul,86.6,82.7,96.0,280,240,Nov,Vermelho,365,101.0,160.5,83.08333333
BRSC0110002,Berço2,Porto Itapoá Terminais Portuários,Itajaí,86.3,86.3,90.7,288,91,Dez,Vermelho,365,333.0,29.9,7.25
PNG0218,TCP,TCP,Paranaguá,86.3,86.3,93.1,295,68,Ago,Vermelho,365,365.0,40.16666667,18.53333333
SSZ0102,Píer da Alamoa - Público,Píer da Alamoa - Público,Santos,86.2,85.3,95.0,297,196,Jun,Vermelho,365,140.0,193.04166665,144.24166665
SSZ0737,T-37 (cadastro antigo),T-37 (cadastro antigo),Santos,86.2,86.2,95.8,291,218,Out,Vermelho,365,118.0,237.9166667,171.1666667
PNG0200,PIER DA FOSPAR,PIER DA FOSPAR,Paranaguá,86.0,86.0,99.7,309,271,Jan,Vermelho,365,70.0,427.86666665,329.725
SSZ0420,Cais do Outeirinhos - Público,Cais do Outeirinhos - Público,Santos,85.5,85.5,95.2,290,205,Abr,Vermelho,365,139.0,213.04166665,164.01666665
PNG0216,TCP,TCP,Paranaguá,85.5,85.5,93.9,294,67,Ago,Vermelho,365,371.0,40.25,19.28333333
SSZ0759,Cais da Ponta da Praia - Público,Cais da Ponta da Praia - Público,Santos,85.3,85.1,94.7,297,205,Jun,Vermelho,365,119.0,180.75,117.1666667
SSZ0103,Píer da Alamoa - Público,Píer da Alamoa - Público,Santos,85.0,84.2,96.6,298,225,Abr,Vermelho,365,106.0,85.04166666500001,2.2916666665000003
SFS0101,Retroarea 1,Retroarea 1,São Francisco do Sul,84.5,84.2,97.6,304,234,Out,Vermelho,365,118.0,254.63333335,188.425
PNG0201,Corredor de Exportação Oeste,Corredor de Exportação Oeste,Paranaguá,84.2,82.7,97.8,298,238,Out,Vermelho,365,93.0,238.35,160.25
SSZ0748,Cais da Ponta da Praia - Público,Cais da Ponta da Praia - Público,Santos,83.6,83.6,96.3,290,231,Set,Vermelho,365,87.0,253.3333333,162.4166667
SSZ0419,Cais do Outeirinhos - Público,Cais do Outeirinhos - Público,Santos,83.5,83.3,93.7,284,204,Ago,Vermelho,365,118.0,279.95,214.4833333
SSZ0101,Píer da Alamoa - Público,Píer da Alamoa - Público,Santos,83.0,81.2,92.0,274,160,Fev,Vermelho,365,166.0,110.92500000000001,65.516666665
SSZ0812,Cais da Santos Brasil (SSZ 16) - Privativo,Cais da Santos Brasil (SSZ 16) - Privativo,Santos,83.0,82.9,89.1,253,84,Set,Vermelho,365,279.0,41.441666670000004,14.666666665000001
SSZ0813,Cais da Santos Brasil (SSZ 16) - Privativo,Cais da Santos Brasil (SSZ 16) - Privativo,Santos,82.7,82.7,90.9,243,97,Jul,Vermelho,365,258.0,45.98333333,19.299999999999997
SSZ0811,Cais da Santos Brasil (SSZ 16) - Privativo,Cais da Santos Brasil (SSZ 16) - Privativo,Santos,80.6,80.5,89.4,245,63,Set,Vermelho,365,291.0,35.83333333,10.33333333
SSZ0108,Cais da BTP (SSZ 41) - Privativo,Cais da BTP (SSZ 41) - Privativo,Santos,80.4,80.4,85.7,228,84,Nov,Vermelho,365,252.0,46.925,16.549999999999997
BRSP0080001,Berço 1,DP World Santos,Santos,80.3,80.3,93.0,242,89,Jan,Vermelho,365,263.0,38.46666667,12.14166667
BRCE0015010,TMUT-B7 - Cabeços 20 a 28,Terminal Portuário do Pecém,Pecém,79.2,79.2,97.8,278,231,Mai,Amarelo,365,65.0,183.4333333,59.66666667
SSZ0942,Píer da TEG (SSZ 08) - Privativo,Píer da TEG (SSZ 08) - Privativo,Santos,78.6,78.4,96.1,271,213,Nov,Amarelo,365,81.0,231.59166670000002,143.48333335
SSZ0640,Cais do Macuco - Público,Cais do Macuco - Público,Santos,78.5,75.2,89.7,274,240,Set,Amarelo,365,52.0,161.77499999999998,6.041666667
SSZ0803,Píer da TGG (SSZ 14) - Privativo,Píer da TGG (SSZ 14) - Privativo,Santos,77.4,77.4,88.5,244,174,Out,Amarelo,365,134.0,134.08333335,72.691666665
SSZ0109,Cais da BTP (SSZ 41) - Privativo,Cais da BTP (SSZ 41) - Privativo,Santos,77.3,77.3,86.0,202,74,Abr,Amarelo,365,263.0,45.48333333,18.33333333
SUAPIB2,TECON Suape,TECON Suape,Suape,77.3,77.2,90.4,224,69,Nov,Amarelo,365,275.0,23.55,0.816666667
RIO2TS2,TRIUNFO,TRIUNFO,Rio de Janeiro,76.6,75.4,90.5,209,151,Set,Amarelo,365,18.0,,
BRSP0080002,Berço 2,DP World Santos,Santos,76.1,76.1,83.4,223,63,Jan,Amarelo,365,272.0,38.508333335,13.43333333
SSZ0675,Cais do Macuco - Público,Cais do Macuco - Público,Santos,76.0,75.3,99.2,260,245,Set,Amarelo,365,42.0,178.425,1.275
SSZ0104,Píer da Alamoa - Público,Píer da Alamoa - Público,Santos,75.9,75.9,92.6,251,184,Abr,Amarelo,365,111.0,76.16666667,1.916666667
RIG0042,Cais comercial do Porto Novo,Cais comercial do Porto Novo,Rio Grande,75.6,73.9,88.3,248,213,Mai,Amarelo,365,138.0,80.75,8.833333333
SSZ0676,Cais do Macuco - Público,Cais do Macuco - Público,Santos,75.4,74.3,95.7,252,199,Mai,Amarelo,365,87.0,85.61666667,5.116666667
SSZ0626,Cais do Outeirinhos - Público,Cais do Outeirinhos - Público,Santos,74.6,74.2,96.4,251,204,Abr,Amarelo,365,81.0,300.24166665,215.05833335
SSZ0416,Cais do Outeirinhos - Público,Cais do Outeirinhos - Público,Santos,74.6,74.3,95.5,248,154,Ago,Amarelo,365,141.0,141.91666665,101.5
RIO2TS1,TRIUNFO,TRIUNFO,Rio de Janeiro,74.5,73.7,87.9,183,98,Nov,Amarelo,365,,,
RIG3112,Pier Petroleiro,Pier Petroleiro,Rio Grande,74.5,74.5,83.5,251,180,Mai,Amarelo,365,99.0,150.9166667,88.0
SSZ0941,Píer da TEAG (SSZ 10) - Privativo,Píer da TEAG (SSZ 10) - Privativo,Santos,73.7,73.7,96.3,255,211,Out,Amarelo,365,71.0,256.4,156.4666667
RIG0044,Cais comercial do Porto Novo,Cais comercial do Porto Novo,Rio Grande,73.6,72.1,96.6,245,206,Set,Amarelo,365,97.0,109.8333333,20.86666667
PNG0215,CAIS PÚBLICO,CAIS PÚBLICO,Paranaguá,73.4,73.4,89.8,222,69,Ago,Amarelo,365,317.0,42.16666667,22.66666667
SSZ0653,Cais do Macuco - Público,Cais do Macuco - Público,Santos,71.8,70.7,98.7,249,230,Set,Amarelo,365,38.0,209.625,2.3166666664999997
SSZ0423,Cais do Outeirinhos - Público,Cais do Outeirinhos - Público,Santos,70.7,68.2,94.7,235,188,Nov,Amarelo,365,79.0,116.25,29.58333333
SSZ0412,Cais do Paquetá - Público,Cais do Paquetá - Público,Santos,70.3,68.1,90.7,234,210,Out,Amarelo,365,68.0,177.875,75.0
RIG3313,Cais Tecon Rio Grande S.A.,Cais Tecon Rio Grande S.A.,Rio Grande,70.1,70.1,83.0,194,38,Out,Amarelo,365,285.0,33.891666665,9.5416666665
IGI5401,CPBS,CPBS,Itaguaí,69.8,69.8,81.7,234,178,Abr,Amarelo,365,92.0,91.06666667,28.01666667
SSZ0413,Cais do Paquetá - Público,Cais do Paquetá - Público,Santos,69.8,69.8,98.2,241,218,Jul,Amarelo,365,48.0,258.3333333,104.575
RIG0043,Cais comercial do Porto Novo,Cais comercial do Porto Novo,Rio Grande,69.5,69.1,95.6,228,186,Ago,Amarelo,365,87.0,119.9166667,31.783333335000002
SSZ5090,AGEO SP,Píer da Ageo (SSZ 32) - Privativo,Santos,69.1,69.1,90.2,220,185,Fev,Amarelo,365,77.0,88.08333333,5.283333333
SSZ0804,Píer da TERMAG (SSZ 12) - Privativo,Píer da TERMAG (SSZ 12) - Privativo,Santos,68.3,68.3,95.6,232,203,Ago,Amarelo,365,57.0,145.2,54.41666667
SSZ0112,Cais da Ilha Barnabé - Público,Cais da Ilha Barnabé - Público,Santos,68.3,68.3,84.5,214,166,Fev,Amarelo,365,106.0,62.73333333,2.5
BRCE0010101,Pier 1- Berço nº 1,Terminal Portuário do Pecém,Pecém,68.2,68.2,95.8,234,205,Nov,Amarelo,365,49.0,250.8666667,104.3333333
BRCE0010102,Pier 1- Berço nº 2,Terminal Portuário do Pecém,Pecém,68.2,68.2,99.3,231,217,Jun,Amarelo,365,33.0,174.1166667,14.83333333
BRSP0085003,Berço 3,DP World Santos,Santos,68.2,68.0,81.9,201,172,Jul,Amarelo,365,19.0,,
SSZ0111,Cais da Ilha Barnabé - Público,Cais da Ilha Barnabé - Público,Santos,67.8,67.7,80.9,215,165,Mai,Amarelo,365,104.0,70.0,2.8666666665
SUAPL1o,Cais Público,Cais Público,Suape,66.8,66.3,86.5,191,111,Nov,Amarelo,365,148.0,56.7,17.06666667
SUAPL1e,Cais Público,Cais Público,Suape,65.7,65.3,79.6,188,109,Nov,Amarelo,365,164.0,53.46666667,17.508333335000003
SSZ0107,Cais da BTP (SSZ 41) - Privativo,Cais da BTP (SSZ 41) - Privativo,Santos,65.4,65.4,84.7,165,58,Abr,Amarelo,365,213.0,46.16666667,16.73333333
SUAPIB3,TECON Suape,TECON Suape,Suape,65.1,65.1,79.0,164,42,Dez,Amarelo,365,269.0,22.2,0.816666667
ITJ5007,SEARA Itajaí - 02,Cais Arrendado Transitoriamente,Itajaí,65.0,64.9,87.6,168,76,Fev,Amarelo,365,309.0,26.16666667,5.358333333
RIG0045,Cais comercial do Porto Novo,Cais comercial do Porto Novo,Rio Grande,64.5,61.2,86.5,210,167,Set,Amarelo,365,92.0,90.13333333,18.83333333
ITJ0202,Cais público - APS-ITAJAÍ (cadastro antigo),Cais público - APS-ITAJAÍ (cadastro antigo),Itajaí,63.8,57.4,100.0,209,203,Mai,Amarelo,365,66.0,10.866666665,1.6083333335
BRSP0085004,Berço 4,DP World Santos,Santos,63.2,63.2,79.9,194,154,Abr,Amarelo,365,1.0,,
SUAPL3B,Cais Público,Cais Público,Suape,62.3,52.2,100.0,197,190,Mai,Amarelo,365,168.0,74.0,36.83333333
SUAPIB1,Cais Público,Cais Público,Suape,62.1,59.4,96.9,210,194,Fev,Amarelo,365,46.0,101.983333335,15.85
RIO2108,Cais Público Gamboa T2,Cais Público Gamboa T2,Rio de Janeiro,61.9,61.1,97.6,197,174,Dez,Amarelo,365,51.0,98.05833333000001,1.0
RIO2C12,ICTSI,ICTSI,Rio de Janeiro,61.4,60.6,82.9,125,40,Jul,Amarelo,365,263.0,20.96666667,1.0
RIO2C21,Multi-Rio,Multi-Rio,Rio de Janeiro,61.4,61.4,83.1,133,54,Jan,Amarelo,365,247.0,22.541666665,1.0
IGI5301,Tecon Sepetiba,Tecon Sepetiba,Itaguaí,61.1,61.1,91.4,200,187,Out,Amarelo,365,43.0,115.5666667,3.266666667
SUAPIB4,Cais Público,Cais Público,Suape,59.4,50.8,95.9,179,153,Out,Verde,365,80.0,52.208333335,1.166666667
PNG0141,Pier público de Granéis Líquidos - PPGL,Pier público de Granéis Líquidos - PPGL,Paranaguá,59.3,59.3,76.2,173,107,Jun,Verde,365,153.0,81.58333333,47.3
SUAPL2o,Cais Público,Cais Público,Suape,58.7,58.4,82.2,175,123,Out,Verde,365,141.0,74.26666667,30.275
SSZ0815,Cais do TEV (SSZ 18) - Privativo,Cais do TEV (SSZ 18) - Privativo,Santos,58.4,57.9,72.6,147,52,Mai,Verde,365,207.0,43.16666667,14.4
BRSC0080003,Berço 3,Portonave - Terminais Portuários de Navegantes,Itajaí,58.0,58.0,80.7,125,8,Set,Verde,365,389.0,31.1,17.5
RIG3212,Cais TERGRASA S.A,Cais TERGRASA S.A,Rio Grande,56.5,56.5,82.1,175,148,Ago,Verde,365,71.0,151.325,73.5
SUAPL2e,Cais Público,Cais Público,Suape,54.7,49.2,100.0,163,133,Jan,Verde,365,139.0,84.0,52.25
RIG3311,Cais Tecon Rio Grande S.A.,Cais Tecon Rio Grande S.A.,Rio Grande,54.0,54.0,63.2,114,53,Nov,Verde,365,150.0,30.033333335000002,9.458333333
SUAPL3A,Cais Público,Cais Público,Suape,53.5,53.4,82.0,155,102,Dez,Verde,365,155.0,64.33333333,28.0
RIO2106,Cais Público Gamboa T2,Cais Público Gamboa T2,Rio de Janeiro,53.5,50.9,88.4,157,137,Abr,Verde,365,41.0,84.375,0.833333333
RIO21BM,Quadro de bóias,Quadro de bóias,Rio de Janeiro,53.3,39.3,100.0,164,164,Out,Verde,365,33.0,117.0,0.833333333
SSZ0641,Cais do Macuco - Público,Cais do Macuco - Público,Santos,53.2,45.8,97.1,164,143,Out,Verde,365,71.0,21.66666667,0.95
BRCE0015008,TMUT-B8,Terminal Portuário do Pecém,Pecém,52.3,52.3,60.5,68,19,Mar,Verde,365,299.0,22.93333333,5.883333333
RIG3211,Cais TERGRASA S.A,Cais TERGRASA S.A,Rio Grande,52.1,52.1,81.1,151,130,Ago,Verde,365,65.0,120.70833335,50.475
IGI5101,CSN Mineração,CSN Mineração,Itaguaí,52.1,52.1,75.7,167,156,Dez,Verde,365,41.0,120.4333333,3.166666667
SSZ0211,Cais do Saboó - Público,Cais do Saboó - Público,Santos,49.4,41.8,97.5,170,152,Out,Verde,365,31.0,168.8666667,3.766666667
RIO21TO,Terminal de Óleo,Terminal de Óleo,Rio de Janeiro,49.2,47.7,62.4,104,88,Mai,Verde,365,23.0,75.98333333,1.9
IGI5303,Tecon Sepetiba,Tecon Sepetiba,Itaguaí,49.1,49.1,96.1,106,85,Dez,Verde,365,136.0,22.85,3.383333333
RIG0046,Cais comercial do Porto Novo,Cais comercial do Porto Novo,Rio Grande,49.0,47.4,70.7,141,116,Ago,Verde,365,77.0,75.39166667,4.9333333335
SSZ0814,Cais da Santos Brasil (SSZ 16) - Privativo,Cais da Santos Brasil (SSZ 16) - Privativo,Santos,48.9,48.4,73.7,124,54,Out,Verde,365,160.0,39.125,7.716666667
PNG0142,Pier público de Granéis Líquidos - PPGL,Pier público de Granéis Líquidos - PPGL,Paranaguá,48.9,48.9,60.7,127,86,Jul,Verde,365,107.0,80.18333333,39.03333333
SSZ0213,Cais do Saboó - Público,Cais do Saboó - Público,Santos,48.7,45.1,91.2,163,149,Jul,Verde,365,35.0,143.3166667,5.883333333
RIO2C22,Multi-Rio,Multi-Rio,Rio de Janeiro,48.4,47.6,86.6,98,48,Jan,Verde,365,172.0,22.166666665,1.0
RIO2107,Cais Público Gamboa T2,Cais Público Gamboa T2,Rio de Janeiro,48.1,47.3,70.5,145,129,Jun,Verde,365,46.0,86.008333335,1.0
SSA0610,TECON Área 2,TECON Área 2,Salvador,47.8,47.8,69.1,96,31,Fev,Verde,365,236.0,19.0,1.75
SSZ0212,Cais do Saboó - Público,Cais do Saboó - Público,Santos,47.3,47.2,97.2,161,149,Out,Verde,365,30.0,133.45,5.7416666665000005
SSZ0629,Cais do Macuco - Público,Cais do Macuco - Público,Santos,46.3,36.0,82.9,138,121,Nov,Verde,365,44.0,82.4,2.4833333335
RIO2109,Cais Público Gamboa T2,Cais Público Gamboa T2,Rio de Janeiro,45.8,45.4,70.6,142,129,Mar,Verde,365,33.0,106.0,1.0
IGI5302,Tecon Sepetiba,Tecon Sepetiba,Itaguaí,45.5,45.5,71.2,107,83,Nov,Verde,365,103.0,28.716666664999998,3.325
SSZ0652,Cais do Macuco - Público,Cais do Macuco - Público,Santos,44.5,41.4,95.2,132,105,Out,Verde,365,73.0,58.91666667,3.083333333
SSZ0910,Píer da Ageo (SSZ 32) - Privativo,Píer da Ageo (SSZ 32) - Privativo,Santos,43.9,43.9,69.2,138,124,Jun,Verde,365,44.0,96.65,2.1833333335000003
RIO2C11,ICTSI,ICTSI,Rio de Janeiro,43.2,42.5,60.9,74,33,Ago,Verde,365,203.0,15.75,0.916666667
SSZ0214,Cais da Ecoporto (SSZ 35) - Privativo,Cais da Ecoporto (SSZ 35) - Privativo,Santos,42.9,42.6,63.2,126,105,Ago,Verde,365,56.0,68.383333335,3.058333333
SSA0611,TECON,TECON,Salvador,42.9,42.5,60.5,88,48,Mar,Verde,365,171.0,23.166666665,2.0
SSZ0310,Cais da Ecoporto (SSZ 35) - Privativo,Cais da Ecoporto (SSZ 35) - Privativo,Santos,42.4,40.6,81.6,112,68,Jan,Verde,365,102.0,38.26666667,3.7916666665000003
RIG3312,Cais Tecon Rio Grande S.A.,Cais Tecon Rio Grande S.A.,Rio Grande,41.8,41.8,68.1,108,35,Dez,Verde,365,156.0,38.283333334999995,15.58333333
SSZ0664,Libra Terminais S/A (cadastro antigo),Libra Terminais S/A (cadastro antigo),Santos,41.3,41.2,68.4,122,94,Fev,Verde,365,70.0,55.066666665,1.2666666665
RIO2110,Cais Público Gamboa T2,Cais Público Gamboa T2,Rio de Janeiro,41.1,39.1,76.8,125,118,Set,Verde,365,29.0,80.83333333,0.916666667
RIO2105,Cais Público Gamboa T2,Cais Público Gamboa T2,Rio de Janeiro,37.3,33.4,81.8,94,89,Jun,Verde,365,8.0,,
BRCE0015009,TMUT-B9,Terminal Portuário do Pecém,Pecém,36.2,36.2,52.7,18,3,Fev,Verde,365,236.0,18.0,2.7
SSA0208,Cais Público,Cais Público,Salvador,36.0,36.0,58.5,118,112,Jan,Verde,365,26.0,156.58333335,1.9583333335000002
SSZ0525,Cais do Outeirinhos - Público,Cais do Outeirinhos - Público,Santos,34.1,1.4,78.4,89,86,Out,Verde,365,63.0,11.65,1.166666667
RIO2113,Cais Público Gamboa T2,Cais Público Gamboa T2,Rio de Janeiro,33.6,30.4,74.6,97,90,Dez,Verde,365,9.0,,
SFS0300,TESC,TESC,São Francisco do Sul,30.8,24.1,44.2,93,79,Abr,Verde,365,42.0,123.3166667,75.0
SSA0300,TECON,TECON,Salvador,28.8,28.8,78.4,89,84,Out,Verde,365,26.0,76.0,4.125
SSA0203,Cais Público,Cais Público,Salvador,27.0,23.6,54.0,70,60,Abr,Verde,365,60.0,17.333333335,0.6916666665
RIG3900,Cais Multiplopropósito,Cais Multiplopropósito,Rio Grande,26.4,21.3,72.0,81,77,Fev,Verde,365,24.0,119.60833335000001,11.516666664999999
RIG3150,Pier da Braskem S.A.,Pier da Braskem S.A.,Rio Grande,25.6,25.6,42.2,49,25,Ago,Verde,365,35.0,49.06666667,3.95
ITJ0201,Cais público - APS-ITAJAÍ (cadastro antigo),Cais público - APS-ITAJAÍ (cadastro antigo),Itajaí,22.8,14.9,74.1,64,63,Jun,Verde,365,26.0,20.341666664999998,4.4
RIO2R11,Multi-CAR,Multi-CAR,Rio de Janeiro,21.6,21.2,28.5,39,16,Out,Verde,365,84.0,23.583333335,1.066666667
RIO2117,Cais Público Gamboa T1,Cais Público Gamboa T1,Rio de Janeiro,19.7,0.0,100.0,70,70,Jun,Verde,365,,,
SSZ0322,Cais Público - Valongo,Cais Público - Valongo,Santos,18.9,14.2,66.9,64,64,Nov,Verde,365,3.0,,
BRSC0080001,Berço 1,Portonave - Terminais Portuários de Navegantes,Itajaí,15.5,15.5,78.5,40,5,Nov,Verde,365,89.0,34.45,18.75
RIG3113,Pier Petroleiro,Pier Petroleiro,Rio Grande,15.4,15.4,20.3,2,1,Jun,Verde,365,,,
RIO5065,Term. MULTICAR 1,Multi-CAR,Rio de Janeiro,14.7,13.1,26.3,32,28,Out,Verde,365,46.0,22.0,1.2916666664999998
PNG5022,Berço 219,CAIS PÚBLICO,Paranaguá,14.3,14.3,26.0,11,2,Set,Verde,365,92.0,23.275,9.3416666665
RIO2F09,Fundeio,Fundeio,Rio de Janeiro,13.9,13.9,21.0,36,24,Jul,Verde,365,30.0,143.75833335,97.33333333499999
RIG0048,Cais comercial do Porto Novo,Cais comercial do Porto Novo,Rio Grande,11.2,8.3,42.5,31,28,Set,Verde,365,17.0,,
BRCE0015011,TMUT-B7 - Cabeços 28 a 35,Terminal Portuário do Pecém,Pecém,10.2,10.2,30.3,33,28,Mar,Verde,365,11.0,,
SSZ0627,Cais do Outeirinhos - Público,Cais do Outeirinhos - Público,Santos,9.9,0.0,20.8,20,19,Out,Verde,365,29.0,12.16666667,0.9333333335
RIG0411,Cais do Porto Velho,Cais do Porto Velho,Rio Grande,9.1,6.8,14.1,2,0,Abr,Verde,365,71.0,21.51666667,9.0
RIO2103,Pier Mauá,Pier Mauá,Rio de Janeiro,8.4,0.0,29.1,7,3,Jan,Verde,365,45.0,11.95,0.75
SSA0207,Cais Público,Cais Público,Salvador,8.2,7.9,31.9,23,20,Ago,Verde,365,11.0,,
SSZ0628,Cais do Outeirinhos - Público,Cais do Outeirinhos - Público,Santos,7.6,0.0,37.7,10,9,Jan,Verde,365,35.0,12.0,0.916666667
SSZ0240,Cais da Ecoporto (SSZ 35) - Privativo,Cais da Ecoporto (SSZ 35) - Privativo,Santos,6.7,5.7,27.3,15,12,Mar,Verde,365,14.0,,
SSZ0415,Cais do Paquetá - Público,Cais do Paquetá - Público,Santos,6.4,6.3,29.5,21,19,Mar,Verde,365,5.0,,
ITJ5006,SEARA Itajaí - 01,Cais Arrendado Transitoriamente,Itajaí,6.2,6.2,19.8,8,5,Jul,Verde,365,30.0,24.0,3.5833333335
RIO2101,Pier Mauá,Pier Mauá,Rio de Janeiro,4.8,0.0,24.7,9,8,Dez,Verde,365,16.0,,
RIO2102,Pier Mauá,Pier Mauá,Rio de Janeiro,4.4,0.7,18.9,7,2,Jan,Verde,365,17.0,,
RIG3213,Cais TERGRASA S.A,Cais TERGRASA S.A,Rio Grande,3.8,3.8,21.2,9,7,Ago,Verde,365,,,
RIO2104,Pier Mauá,Pier Mauá,Rio de Janeiro,3.3,0.1,17.9,3,2,Fev,Verde,365,17.0,,
SSA0201,Cais Público,Cais Público,Salvador,3.3,0.9,14.6,3,2,Mar,Verde,365,18.0,,
SSZ0321,Cais Público - Valongo,Cais Público - Valongo,Santos,2.3,0.0,28.1,8,8,Set,Verde,365,,,
SSZ0651,Cais do Macuco - Público,Cais do Macuco - Público,Santos,1.5,0.0,7.7,0,0,Mar,Verde,365,11.0,,
RIG3214,Cais TERGRASA S.A,Cais TERGRASA S.A,Rio Grande,1.1,1.1,12.7,3,3,Dez,Verde,365,1.0,,
SSA0205,Cais Público,Cais Público,Salvador,0.9,0.9,10.1,2,2,Mai,Verde,365,1.0,,
SFS0103,Retroarea 1,Retroarea 1,São Francisco do Sul,0.9,0.0,3.2,0,0,Jun,Verde,365,10.0,,
BRSC0080002,Berço 2,Portonave - Terminais Portuários de Navegantes,Itajaí,0.2,0.2,1.3,0,0,Jun,Verde,365,2.0,,
RIO2116,Cais Público Gamboa T1,Cais Público Gamboa T1,Rio de Janeiro,0.2,0.0,1.6,0,0,Set,Verde,365,,,
